most_recommend_rtv_program,least_recommend_rtv_program,most_recommend_rtv_program_reason,least_recommend_rtv_program_reason,HH Income + Production/Day (USD),target_binary
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.875231395779341,0
1.0,99.0,Agriculture is most recommended because we were able to learn on how to grow vegetables and improved practices of farming,All programs for RTV are good like Agriculture and nutrition has helped in growing vegetables WASH has improved our community by sensitising us dash racks,2.992225101814143,1
2.0,99.0,It has improved on health standards of the community as well as household level and more so the community has been able to live a healthy environment,"All RTV programs in this community has really transformed the lives of these people, economically, health Wise, agricultural production",4.114402073306183,1
1.0,2.0,It generates income from the commercial farming industry through provision knowledge about agriculture inputs and trainings in the community,There are many different kinds of places which teaches people how to use their own home resources and nutrition through trainings like in church,1.012217697149204,0
1.0,99.0,This program has helped us to improve and increase yields from crops hence reducing food insecurity and improving health through provision of vegetables,All these programs have been very useful forexample WASH which has helped improve our hygiene hence reducing instances of diseases,3.152536097741577,1
1.0,4.0,"Because of the manure they taught me specifically  the liquid one  and the seed they gave me, makes agriculture the best program from rtv","Even now am from the health center , I can tell you there's no medicine, rtv medical team nolo ger comes in our area, they stopped",2.995186967789708,1
1.0,99.0,The program provided us with planting materials and they trained us in many aspects concerning agriculture. This increased the yields and incomes in our household,All the  programs have us in one way or the other and this has reduced many social and economic problems in the area. People are more healthy and have improved livelihoods,4.6242132543502406,1
1.0,2.0,"This household appreciates the seeds given out to them, such as maize and beans. Also, the vegetables that improved balanced diety at home",I work away from my household  aking keep the WASH REQUIREMENTS quit hard and tricky. But they too are necessary for health reasons,3.5435024065161054,1
3.0,99.0,Rising the Village has improved the way standards of our wash in Construction of the springs where my Household an the entire community are jubilating with safe water we are having.,"None of the above qualify to be on the least because all look to be beneficial to us Forexample water, Agriculture where we are receiving crops.",1.6975194372454645,0
1.0,5.0,This programme has been effective in improving our household income. The improved seeds opened our eyes we thought our land wasn't productive.,"Our leaders frustrated us in the  VSLA, This has made us not recommend this programme. This may frustrate more people so I may not recommend it at all.",6.964087375046279,1
3.0,99.0,Water pinta constructed by rtv bas helped reduce fetching time and access to clean water hence good hygiene and health conditions,"All programs are recommended by respondent as they aim at improving household yield and income, food security and households hygiene",1.917808219178082,0
1.0,5.0,Agriculture  and  nutrition  is highly  recommended  because  the household  has strongly  benefited from  this program  where by the household  has been  exposed  to the better  farming  methods,VSLA's  as a program  of rtv the household  has been able  to be in a group  but financially  there has not been  support from rtv which  has led to the break down of some groups,1.9763050721954831,0
1.0,99.0,"She recommend all the programs but agriculture stood out because she is still using the same seeds given to her by rtv
She now has food security cause she grew the vegetables",She is involved in all the programs and so she recommends all the programs positively to others  cause she is actively involved,2.534246575342466,1
1.0,5.0,The household recommends agriculture because they  were taught how to takecare of the their crops in order  to get good yields,"VSLA recommends VSLA because ever since Rtv left the village  to continue on their  own,people developed some disagreements and couldn't  continue",5.255090707145501,1
1.0,99.0,They taught us to have dumping pits where we can have manures and transfer it to our garden so that we add soil fertility to increase our yields.,All programs are beneficial to us however we are more interested in agriculture since it's what we do best but also the savings help us to improve our economic status,0.4098482043687523,0
1.0,99.0,"Agriculture and nutrition reason being,  agriculture as an rtv program has provided them with improved seeds,  trainings about making liquid,  organic and composit manure.","That all programs have perfectly performed in their community like wash with improved water source and trainings which they taught them how to construct modernised dishracks, sanitation and hygiene.",4.2428730099962975,1
1.0,99.0,"Because she was able to buy goats from its benefits like seeds
Was able to take children to school from income generated from rtv intervention",She says she has benefitted from all programs and she is just great full to all interventions made to their village cause she is still benefiting,2.8067382450944094,1
2.0,99.0,"She says the wash programs those days helped them to promote good sanitation and hygiene at the households 
That all the households has tippy taps  double dish racks,clean compounds among others","None is least recommended because there's no program that was less important during the time of implementation that is they benefited from all the
 Programs brought up by rtv",2.5564605701592003,1
1.0,3.0,I recommend the program to others because it has helped us to have enough food stuffs for our homes in this village through producing better harvests,Because we still walk along distance to fetch water and which is unclean hence still a problem and l don't recommend it to other villages,3.035172158459829,1
3.0,1.0,The provision and construction of the shallow well has helped us to have access to good water that is free from diseases vectors,"Because it is disappointing us so much, especially on the first season of the year, which reduces on our energy towards agriculture",2.3058126619770456,1
1.0,99.0,"Because he received  improved  seeds and hybrid  pig,  this  helped him to increase household yields  and income  earned  per year","Because people of ahakibungo village benefited all the services  of Raising the village like Agriculture,  VSLAs , Water",6.632358385783044,1
1.0,4.0,Agriculture is recommended as the best because they were taught better methods of farming such as planting in lines and Compost making manure,Health is recommended as the least because they take long to receive the health assistants in their village and yet access to medical is less,1.941503146982599,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,2.870788596815994,1
1.0,4.0,"For settlement by encouraging permanent settlements and the development of civilization.,for economic growth through providing a basis for trade and economic development","For health insurance for the aviabilility of health insurance coverage to help manage health care costs, and for health education by providing individuals with information and education about health prevention and available services",2.43687523139578,1
1.0,99.0,"I would recommend Agriculture and nutrition programs because they have taught us improved farming methods, how to make manure,given us improved seedlings,taught us post harvest handling methods among others and these have increased on our yields and food security","All programs are very important and l would recommend them to my peers especially WASH,VSLA, agriculture and nutrition among others",1.5894113291373564,0
1.0,99.0,Because respondent claims he was able to improve on the income of his household through the projects of the organisation,Respondent assures me all the RTV projects are crucial for social economical development of the community therefore all the above programs are important,2.5212884116993703,1
2.0,99.0,WASH is the most important because there has been reduction of water borne diseases thus reducing the rate at which people frequently go to hospital,All programmes have been working well and this has improved on people's wellbeing such as the yields got from supplied seeds,2.031469825990374,0
1.0,5.0,"It's through agriculture  that new seeds have  been introduced, introduction of use of manure that is locally made by members  becomes more cheap and leads  to high crop yields",The VSLAS have no direct benefit  from  Rtv as many people thought that their groups would be boosted by giving  people loans on reduced interest which  was not the case,2.232136245834876,0
2.0,99.0,It has helped to reduce on the high level of sickness in our household and digging dumping pits and putting tippy taps on the toilet has helped us have a good hygiene,They are all good and important to us since they help us live a healthy life and a life of growing food crops and also saving,3.331728989263236,1
1.0,99.0,"Rtv has promoted agriculture in the community through diffrent trainings where they have trained them how to do fertilizers such as liquid manure,compost manure thus increasing the productivity and yidlding",All programs have arised the standards and living of the community there fore people have been motivated thus development,3.25020362828582,1
1.0,99.0,"Agriculture and nutrition has provided us with improved
seeds thus encouraging us to grow more.
It has also taught us new skills and methods of farming",They are all recommended  since the all  try to improve the well being of the people in the community  forexample  the wash  which  ensures the hygiene of the community  and households at large.,4.270122176971492,1
1.0,99.0,The yields improved and also the pests and diseases reduces after the application of organic manure which was taught by the raising officials within the village,"The household has benefitted from the programs starting with Agriculture,  water, sanitation and hygiene,  wash, access to health and they have recommended every program",3.851166234727879,1
1.0,3.0,The supply of seeds and the knowledge that was shared on agriculture has really helped people in food security. Like people were given bean seeds planted them and made huge harvests,The water program was never handled because water is still avery big Challenge in the community where by people still move long distances in search of water,3.407626804887079,1
1.0,99.0,"Because through  the agricultural and nutrition program, rtv supplied them with seeds and seedlings for growing which helped them boost their agricultural outputs",Because rtv has done a great job through its different programs to help develop the community to the desired normal standards,4.17326915957053,1
1.0,99.0,"I got alot of knowledge in different  farming methods like crop spacing, line planting, application of of organic manure that is home made.","all the programs programs 
very important to me therefore they should be reached out  to other people in other communities  so that they benefit",3.923361717882266,1
1.0,5.0,"I really recommend agriculture for all the seedlings, educative programs for this has helped is have food security, feed better and earn more","Rtv should add us more money in the savings groups for the other money was helpful, but we would do better If the money was increased",2.506479081821548,1
3.0,99.0,"Water because most households are now near to reliable
Clean water sources where they get clean water for their home use because before getting boreholes because before they were getting it from swamps",All  programmes are beneficial to the community because they help to save money to get utility as well as buying food. Which has enabled people to save their money,2.7750833024805623,1
2.0,3.0,"We had no latrines but they were able to teach us how to construct latrines, they have taught us about the better seeds that we are able to plant for better production","We need more water services in our villages as some people still move long distances to access water, we shall be glad if more shallow Wells are constructed",0.9829692706405035,0
5.0,3.0,The respondent got gets some money from the programme and this has helped him to solve some problems regarding family issues,The respondent got gets some money from the programme and this has helped him to solve some problems regarding family issues but supports all the programmes,0.9748241392077008,0
1.0,99.0,The program has helped us improve on the ways of feeding through  providing with us vegetables  to plant as sell as improved seeds that had increased  on our yeilds  from the garden,I really appreciate  all the programs  the organisation  has brought  to my community  especially  they have made us improve on the general  hygiene  and cleanliness 9n our homes,2.254720473898556,0
1.0,4.0,They introduced for us improved seed varieties and taught better farming practices and this has increased our productivity thus food security.,"There were only a few times that they brought for us medical doctors, but we still needed them for consultation butthey did not come back.",2.1700111069974084,0
1.0,99.0,Cause its the main source  of livehood and employment for over 60% of the population  and it helps on the country's progress towards second sustainable development goal of ending hunger,Cause they are all good  and address poverty with holistic  data informed  and sustainable  model that secures  basic needs and raise house hold income,1.460940392447242,0
1.0,99.0,Improved agricultural practices are put in practices which has helped to have increased total yields thus increased income,Rtv has carried out trainings in all aspects of life which has helped people to leave health life and encouraging them to participate in economic activities,2.26360607182525,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.1521658644946315,0
2.0,99.0,"Aided in general health through cleaning our homes, washing hands and setting a tippy tap also making latrine 
Water source help in reducing water scarcity and moving long-distance to look for water","All have been good programs in our community, we acquire new skills of saving, new skills of crop planting hence good yields 
Saving groups help in getting money to pay school fees 
Wash helped in improving health through disposal of rubbish, cleaning the homes, the latrine and washing hands",0.8130322102924843,0
1.0,5.0,"Source of food 
Source of income.e from sale of Agricultural produce  thus increased  household income 
Reduced poverty 
Reduced hunger 
Better nutrition standards 
Provision  of improved seeds that yield higly","Most villages  have many saving groups  in existence  already 
Thus by the time RTV introduces its VSLAs  people are already committed to many other VSLAs",4.5653461680858936,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.092558311736394,0
1.0,5.0,Raising has taught me how to take of coffee and hence increasing yields which has generated more income and also the improved farming practices increase yields in other crops,Wanted more money to invest in agriculture such as buying improved seeds and also buying inputs in agriculture such as pesticides and seeds,3.0981118104405776,1
3.0,99.0,"He recommends water because water is life, so having access to clean water gives a good health and when one is healthy is able to execute other duties of life.","All programs are Important, because for a us to have sustainable development all of them must be in place so I would recommend all.",2.949648278415402,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.9600148093298778,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.9977786005183266,0
1.0,99.0,Rtv has strongly supported  agriculture  within the community  by teaching  people about  the household  about  the improved  methods  of agriculture,The household  doesn't  recommend  any of the programs  because  it has performed  its best to engage the community  hence the household  highly  appreciate  RTV,2.7218067382450943,1
1.0,4.0,"Because the only crop am still keeping, the seeds I got it from rtv , they considered irrespective of my  of age, I have wat to eat atlases court of rtv","The medics  were brought and they treated me, am now sick but I can't see them, I don't have money, if they come again , I will be healed",0.5831173639392817,0
1.0,99.0,The respondent says that they were Given improved seeds. These improved on their yields and thus more income was obtained .,The respondent says that all Programs are good more especially those that she is aware about and thus there is no need of least recommending any programsÂ  since they are all beneficial to the community,3.330618289522399,1
1.0,3.0,Agriculture is the main source of income for many households. This through selling output to the market which generates income,There are different sources of water in the village and most people prefer to use the water sources ghat are nearby there household,2.099222510181414,0
1.0,5.0,The active beneficiaries of the program were taught new and cost effective methods of farming for improved food security,"The respondent didn't benefit from the program at all. But it seems he was not an active caver and was not very ,uch involved in RTV business",0.9885227693446872,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.3646797482413922,0
1.0,99.0,"The seeds given out greatly helped in boosting agriculture and agricultural output and hence increasing incomes. 
The household head says they really appreciate","All programmes were good shd still good and yelping our community in different aspects, 
People are now proud if their homes",2.532765642354684,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.9155868196964086,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.4813032210292484,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.6756756756756757,0
1.0,99.0,There's has been an increase in agricultural productivity and good results because of the introduction of fertilisers which has boosted soil fertility and hence giving out good yields the respondents are happy because it has boosted food security ets,All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.957052943354313,0
3.0,99.0,"The clean provided by rtv reduced on disease spread 
The knowledge and skills about live farming and management 
The composit manure use boosted the growth of perennial crops",All programs were supportive especially Livestock farming and management has increased on the animals production thus high income recieved,4.957793409848204,1
2.0,99.0,This program has helped to created  a clean living  environment and this has helped to reduce  disease  like typhoid and cholera,All rtv programs mentioned have helped to improve  living standards of the Household  and so they are all highly  recommended to peers,3.1199555720103667,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.8059977786005184,0
1.0,99.0,program is open and for any one to engage and embrace the profitable cropping of crops and animal reared for economic development and transformation ideally,All programs are good for developing the cluster so as to attain social economic transformation and community development,2.262495372084413,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,3.77489818585709,1
1.0,3.0,Because it has helped them to improve on their agriculture sector by introducing to them improved seeds which has helped them to improve on their agricultural development and systems in their community,Because it has helped them to have easy access of water where they constructed water sources such as water tanks hence maintaining their health through water,1.8985560903369123,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.589781562384302,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,7.225842280636801,1
1.0,5.0,"The respondent was good, which has improved the quality of her life hence recommending agriculture to take lead in the village","I save when I have good health  so health first  , agriculture,  water then wash follows and VSLAS  comes at last because  a health person is the one who  saves",2.245464642724917,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,2.4450203628285823,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.6712328767123288,0
5.0,2.0,I got money from raising the village which helped me to come out from the poverty and increased on my income and savings in my family,We still have problems of health  because to get health services in my village we still moved some distances for good health,2.5842280636801185,1
1.0,2.0,I most recommend it it gave us balanced diet got from seeds that they gave us and we even get income from such seeds got from raising the village,I least recommend it because it taught us how to make manure using composit pits and washing hands every after the toilet using a tippy tap and a soap,2.934468715290633,1
1.0,2.0,"There is improved farming methods that are  being practiced due to the intervention of Raising  the Village, improved seeds though they were little.","The water spots are still far and dirty, people still fetch dirty water  to use for domestic use, which leads to increase  of diseases.",1.9829692706405035,0
1.0,99.0,Agriculture and nutrition programs have been of great help as they have helped us to increase our savings and increase yields from agriculture,All programs of raising the village have helped us and the community atlarge to improve our quality and standards of living,2.195483154387264,0
2.0,99.0,The respondent says that RTV introduced improved farming methods which have increased on agricultural productivity hence increased food security,The respondent says all RTV programs are operating very in the area. He says great thanks to RTV for the improvement in the village,5.483894853757868,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,3.3735653461680863,1
1.0,99.0,This is because the agricultural sector has over taken and it has greatly helped people to avoid starvation poverty to some  extent....................,"They are all good and there's no  way one can leave them 
They are all  recommended 
People have benefited alot from the organisation",1.5268419104035542,0
1.0,3.0,People are growing  crops and yielding more from  agriculture  which has improved the  standards which has improved their well-being in this community.,"They don't have access to clean, they use  water from  lake which is not  good  for  there  health.  This  lead to a increase to disease.",3.3669011477230653,1
1.0,99.0,He tells me the he most recommends agriculture and nutrition because it is a source of food and income at once which has improved on their standard of living,He doesn't least  recommend any because the whole projects are developmental fore ample they always get loan at lower interests,2.8178452425027767,1
1.0,99.0,Agriculture practices good farming methods that leads to high yields hence increased income and profits in the community and household,All programs lead to development and liked by the whole community making all the household members to get out of poverty,0.9544613106256942,0
1.0,5.0,"There is introduction of better farming practices like manure application ,provision of improved seeds thus increased food production. 

Increased household income from sale of Agricultural produce 

Better Nutrition standards.",Most villages have many saving groups in existence already  thus by the time  RTV introduces the VSLA  people are already  tied up with many local VSLA,4.689744539059608,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,2.9203998519067014,1
1.0,4.0,Mostvl household benefited fro the agriculture program than anuy other program due to the fact that it benefited most households bybthe fact that it was diversified,Respondent thinks  beneficiaries of the program didn't benefit from the program due to it the fact that they were not given chance to once again meet the doctors,1.4202147352832286,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.1995557201036653,0
1.0,3.0,"The agriculture team gave us livestock 
They gave us seedlings
They keep visiting and training us on basic and organic agronomy","We never received any water source almost the whole cluster and its a bit far to where we fetch water
I think the water team can do better",2.4108108108108106,1
1.0,3.0,The  household head has highly recommended the above programme to his peers because he says that he has benefitted from the modern farming  practices that's were taught to him during the trainings of Raising the village,"The household  head says that he hasn't benefited  from, the water project because he says that the water is in the valley and this makes it hard for him and the family  to fetch the water",4.366160681229174,1
5.0,99.0,"The respondent said that she joined VSLA  as a widowed so that she can develop herself.  ,moreso she also wanted rogwt some profits","She says that rtv programs can't be least recommended given the fact that they are good and clear.
She adds on and says that etv programs have helped her in many ways",2.5172158459829697,1
1.0,3.0,Agriculture and livestock is broad thus has variety of projects that one can partake.Thats why I would recommend this program,"I said water as the least recommended but quite honestly,all the programs Raising introduced to us were all good and beneficial to our community.",6.126619770455387,1
5.0,1.0,This has enabled us to save our little monies. We have been able to borrow and buy necessary farm inputs for commercial agriculture.,They did not give us enough farm inputs that could enable us carry on agriculture for commercial and subsistence. This is a serious area that needs intervention.,3.389485375786746,1
1.0,99.0,"Agriculture  consists of growing of crops  like beans ,sorghum, maize sweet potatoes ,Irish and also raring of animals for home consumption  and for  sell,through  RTV, communities  were able to carryout  agriculture  inorder  to eliminate  ultra  poverty",All programs  are relevant  and have increased  on people's  standards of living since some households  have constructed  tippy taps inorder  to reduce  on cases of diseases,1.4072565716401333,0
1.0,99.0,The respondent said that the program most recommended is Agriculture and Nutrition for she got improved seedlings that she plants and get more yields.,The respondent said that all the programs of Raising The Village are good and important to her because they play different roles depending on their sectors.,2.46945575712699,1
1.0,99.0,"Because agriculture creates employment opportunities for people who work as labourers and thus generating income to the people, and for food security thus consumption",All rtv programs are working well and many people have benefited from it through improved farming methods and training changed their minds thus economic growth and development,2.5194372454646428,1
1.0,2.0,"Agriculture and nutrition has greatly provided good  food to the household  
It's equally  important  because it has eradicated hunger","She doesn't know the insance of maintaining the wash and Sanitation of the place 
It's less valued......people have not put it into practice",2.2587930396149574,1
2.0,99.0,The wash training teaches people about hygiene thus improving the cleanliness of the community and reducing diseases reducing on costs,All programs are benefial because people learn alot from the trains offered by raising the village eg the agricultural program people receive seeds for planting,6.163643095149944,1
3.0,5.0,"The respondent prefer water project in the community, though the water source is in 1km distance it's a very steep it's not easy for them to fetch water from such places and are requesting for the health access in the community due lack of health facilities in nearby villages","Have different village savings that provide the same services as RTV VSLA they prefer other projects to the RTV VSLA, and the Rtv VSLA is not as strong as they want. They can't give them enough money",5.113661606812292,1
1.0,4.0,The respondent appreciates raising the village programs and recommends that they continue helping the needy because they are able to live better lives because of raising thevillage,The house hold is appreciative to  rtv and is so near to the tap which makes it easier for them to get clean water .but so thankfulto rtv,2.818585708996668,1
3.0,1.0,The household supports water because  she now has access  to watercolour  that she used not to get.They used to fetch  dirty  water,She selected health  because the health centre is far away from  her and she travels  long  distance  to reach there especially  when you are sick,1.9033691225472047,0
2.0,99.0,To improve household sanitation and hygiene  through Wash programs which reduces diseases that could be spread by dirty germs which improves human labour productivity and poverty reduction.,All Rtv programs support each other and go hand in hand in reducing household poverty and improving income levels of the people.,3.597186227323214,1
1.0,99.0,This has improved on food production through improved agricultural practices such as use of improved seeds and application of manure,"All programs of Raising The village are beneficial especially WASH, VLAS and agricultural practices because these have greatly improved on lives of members",3.818955942243613,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.7330618289522399,0
2.0,5.0,She said that raising the village introduced WASH first before teaching them others things.  They were taught to wash hands after visiting a toilet so that they don't contact germs. Another thing they introduced was compost pits which are all under Wash,"Because VSLAs help them to save money they make from agriculture so that means before VSLAs they consider agriculture.  And before agriculture still,  they consider WASH because you can't manage to do agriculture when you're sick incase you ignore WASH",3.3887449092928548,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.0866345797852648,0
1.0,99.0,Cause its the main source of livehood and employment for over 60%of population and helps the country's progress towards second sustainable development goal of ending hunger and all forms of malnutrition,Cause they are good and address ultra poverty  with holistic data informed  and sustainable model that secures basic needs raising  house hold income and Fosters community development,2.7919289152165865,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.987782302850796,0
1.0,99.0,"This is the one I am participating in mostly and it has helped me alot to improve my agriculture 
Because we are an agricultural community so the program helps us alot",I believe Raising the village is doing its best to help our communities so I support whatever they are doing in our communities,2.3065531284709366,1
3.0,1.0,Because rtv has constructed a water source in the community which has increased on access to clean water for household consumption in the community.,"The respondent is an elderly who says that most agriculture progra s require some money, energy to be taken on. She says that amongst the elderly, there is little participation.",0.87782302850796,0
1.0,2.0,Agriculture and nutrition have consistently improved the crop production and food security through its modern measures of agriculture and this has increased its income,WASH is the least recommended because of its weak inspection and this has increased worrying hygiene at the household and its neighbours,2.5501666049611256,1
1.0,5.0,Raising the village have improved  our crop farming and even enabled us to aquire knowledge and skills of making organic manure and liquid manure and incomes have been increased and food production.,Vslas are least recommended  because we were promised backup money on our village savings and it was not fulfilled hence least recommended.,2.3724546464272493,1
1.0,99.0,I recommend agriculture because the seeds yielded much and this improved our economic well being and the goats we got helped us overcome some financial challenges.,I don't least recommend any because I believe they all helped the village .May be access to health..I don't know any rtv health centers,1.6142169566827105,0
1.0,99.0,Raising the village has provided the community with seeds which has boosted agricultural output hence high yields and reduced starvation.,All the Raising the village programs have been effective and beneficial to the community thus all highly recommended because they have been a life changer,1.2054794520547945,0
1.0,99.0,I would recommend agriculture and nutrition because through agriculture we can sell products and get money for sustainability,All the programmes of raising the village are crucial towards our lives and I would recommend all the programmes to the people,2.350981118104406,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.6034801925212884,0
1.0,5.0,"Because of modern and improved farming methods like use of compost and liquid manure,key hole gardening 
These there lead to yields of agriculture prdues",Saving is but sometimes money for saving money for savings may not be available if h don't have a business that can provide dairy income,4.849648278415402,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,2.4324324324324325,1
1.0,99.0,The main economic activity done in their area is agriculture. It is their main source of income and food so she would encourage it's advancement more in order to improve production and improve their living standards,"She says all these programs are equally important if taken seriously, she recommends all of them as long as the person is able and willing to participate",1.7519437245464642,0
3.0,1.0,He has chosen water because it's far from there household which has led them to spend much time in fetching and it can help them in home use,"He has chosen agriculture and nutrition because it has helped him in paying school fees, saving and also buying some needs for his family",0.8348759718622732,0
1.0,99.0,Agriculture and nutrition is the most income earning practice that raising the village brought f0r us where by they gave us seedings,None of the seedings is least recommended because all the programs that you told me are important to me so I cannot recommend any less,3.791003332099223,1
1.0,99.0,"Household head is a farmer, and has benefitted alot from rtv . Learnt how to  make compost manure and liquid manure whih he applies","All are very good programs for the village. He is a member of the rtv VSLA, and has been actively saving, has some wash components and testifies that the water constructed has been helping",1.461680858941133,0
2.0,99.0,Raising the village has encouraged the community to keep a safe and clean environment through the use of tippy taps for a healthy community,All the programs have been good to the community but most importantly has been maintaining proper sanitation  thus a health living,1.874120696038504,0
1.0,99.0,"She recommends agriculture and nutrition because she got improved seeds from the organisation, got a goat though it was affected by diseases",She says she would recommend all the programs to the peers because she has gained from all of them for example the giving out of seeds,1.6905590522028875,0
1.0,3.0,Agricultural  programmes have taught the respondent new methods  of keeping the soil fertile hence more crop yields and more sources of food,Water sources are nearby and several.Of all the problems they never talked about water as a problem so it's the least of there worries,1.8737504627915589,0
1.0,99.0,The respondent says that they were given improved seeds. These improved on their yields and thus more income was obtained . More so the program is good especially in deep villages like omububare,The respondent  says that all rtv Programs are good more especially those that she is aware about and thus there is no need of least recommending programs. This is because all are beneficial,2.7008515364679746,1
1.0,99.0,It has supported the community initiatives through agriculture through trainings that is through making fertilizers that has helped them produce highly,Most programs are essential to the household most especially agriculture that has helped the household secure food and increased income streams,3.267678637541651,1
1.0,99.0,They  recommend agriculture because they gave them livestock like they gave him a sheep  which has generated income through selling  products,They recommend none  because  thetpy taught them different techniques of farming practices which help on improving yeilds,3.013698630136986,1
5.0,99.0,They have adopted a saving culture which was not part of the household before rtv interventions took place and so they are happy for it,"All programs are being treated with equal importance and they hope to benefit from all 
They are hoping to benefit more from all the probrams",2.115142539800074,0
5.0,4.0,She says that the vslas have helped her sometimes whenshe is stranded she goes and borrows money from their for survival,Since she is aging she can't manage to move long distances to access the government health facility and her health condition yas remained on fair state,0.8611625323954092,0
1.0,3.0,The household is thankful for the program of seeds provision however the soils didnot favour the seeds that were provided,People were taught how to use clean and safe water for human consumption both for cooking and drinking but werenot provided that safe water source,4.042947056645687,1
3.0,5.0,Because it has helped them get easy access to water where raising the village provided water in her computer actually water tank,Because it helped them to improve on their savings by making up saving groups which would help them in future development,1.027027027027027,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.7219548315438726,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.4820436875231396,0
1.0,99.0,There's has been an increase in agricultural productivity and good results because of the introduction of fertilisers which has boosted soil fertility and hence giving out good yields the respondents are happy because it has boosted food security,All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.955757126990004,0
