most_recommend_rtv_program,least_recommend_rtv_program,most_recommend_rtv_program_reason,least_recommend_rtv_program_reason
1.0,99.0,We are so pleased about the officers that gave us seeds to plant where we got some money and were able to sell alot of yields and send our children to school.,"Sincerely all RTV programs are bood ,it is us that donot havev the capabilities to boost our livelihoods.otherwise every project has been moving on safely."
,,,
1.0,4.0,This household mostly recommends water because water provided by raising the village is safe and clean and before they used to suffer with dirty water but  now it's clean water and very near to her household,This household least recommends health because hospitals are far  so they request to have many hospitals in their community  so that they  can have and they get services as required
1.0,99.0,"It is a source of food .
There us increased food production due to Better farming techniques like manure applications 
Increased household income from sale of Agricultural goods","The respondent says none because the RTV services provided in their area have been good

There is increased food production due to Better farming techniques like manure applications"
3.0,1.0,Because rtv has constructed a water source in the community which has increased on access to clean water for household consumption in the community.,"The respondent is an elderly who says that most agriculture progra s require some money, energy to be taken on. She says that amongst the elderly, there is little participation."
1.0,2.0,This is because  RTV has improved my food security through teaching us better methods of farming and giving us good quality seeds which has improved our crop yields,This is because the community already a well constructed and a clean water tap which we've been using for our daily domestic work
1.0,99.0,Agriculture and nutrition programs have been of great help as they have helped us to increase our savings and increase yields from agriculture,All programs of raising the village have helped us and the community atlarge to improve our quality and standards of living
1.0,99.0,The respondent says that agriculture and nutrition is the best intervention raising the village has ever implemented in their village,The respondent says that all raising the village programs are important and none of raising the village programs can be underrated by anyone
1.0,3.0,Agriculture is the main source of income for many households. This through selling output to the market which generates income,There are different sources of water in the village and most people prefer to use the water sources ghat are nearby there household
1.0,99.0,"It has taught us better farming methods ,given us improved agricultural inputs in form of seedlings and this has improved output and nutritional benefits",All programs taught by the project have brought development into the area and this has improved our livelihood and standards of living
1.0,5.0,They recieved seeds that yielded highly and got to get food that lasted them for long and this helped them get time do other income generating activities,They have not seen what good was in this program even when the program started but failed to be organised so that it could last for long
1.0,99.0,I choose water. This is because in our community before the coming of raising the village we were taking unboiled water from ponds but now due building of water source by RTV we are using good water and boil water for drinking,"I choose agriculture, this is because we I was not given seeds for planting but however I was given free advice on farming"
5.0,4.0,Because they taught us how to save for the future and invest differently hence making profits leading to development among people.,Health workers are scarce and we miss their services in this village therefore they should extend healthy services to our communities.
1.0,99.0,"I didn't manage to get improved seeds because I was scared of the policy. People with seeds have yielded much more than me.
I have a big family that can't allow me to produce food both home consumption and commercial.
I only produce home consumption. 
But next time will get the seeds","I was able to do hygiene measures as recommended by Rasing the village.  I have the composite pits , the Jerrycan at latrine and I observe everything recommended by Rasing the village and this has improved my family's health. 

I don't least recommend"
2.0,5.0,"The WASH program has help us to live lives free from diseases like dysentery, because we constructed latrines and there's no disposing of waste in the open space, dishracks, our utensils are always dry before we use them. Generally our hygiene is good",Some of us didn't join the vsla because we didn't have income that we would keep saving in the association and therefore we have not benefited much.
,,,
,,,
1.0,5.0,"The respondent recommended agriculture because they benefited on what they planted in all seasons through improved seeds like beans, Irish potatoes, maize and vegetables like cabbages that were given by raising the village which improved their income",Raising the village limited should raise funds to support their sacco and small businesses which may help them to get loans and purchase family necessities
,,,
,,,
3.0,99.0,"He recommends water because water is life, so having access to clean water gives a good health and when one is healthy is able to execute other duties of life.","All programs are Important, because for a us to have sustainable development all of them must be in place so I would recommend all."
1.0,2.0,"Has provided  in agriculture trainings  on how they  improve  their livelihood 
Giving  good  improved  seeds  that  has given  enough  diet in the household","Don't  have time  to be engaged  in the program  of wash and utensils  to be used in the wash
More trainings  is required"
1.0,5.0,"It's through agriculture  that new seeds have  been introduced, introduction of use of manure that is locally made by members  becomes more cheap and leads  to high crop yields",The VSLAS have no direct benefit  from  Rtv as many people thought that their groups would be boosted by giving  people loans on reduced interest which  was not the case
,,,
5.0,99.0,To improve the household income standards by giving a out people start up funds which expands commercial agriculture and  businesses which increase individual welfare.,All Rtv programs support each other and go hand in hand which reduces poverty and this leads to community development. Also when individuals practice Wash they reduce diseases which improves human labour productivity.
1.0,99.0,"Agriculture is the Most because it helps people to increase on the yields. 
This results into accelerated increase in the income levels of the people.","None is the LEAST since they are equally important aspects that are needed in our daily living lives.
So as to smooth operation of growth and development amongst people in rural areas."
3.0,99.0,We are able to drink good water due to the shallow well provided by RTV in the village and a reduction in time wastage leading to more production,All RTV programs have increased on the standards of living which has increased on the income generation and for the household
,,,
,,,
1.0,5.0,Agriculture and nutrition being the priority area to fight poverty in line with food insecurity is recommended to be the first among other raising the village programs,Saving is self motivated and one saves when he or she is health and is producing something to the table as well as food availability
1.0,99.0,Agriculture and nutrition is the  most recommended here because even our balanced diet was enriched with vegetable varieties that rtv provided forexample dodo,There is no program for rtv that I would least recommend because  the intervations present in the community have helped to heal and redeem our economic status through increased  sales of our crop yields
1.0,5.0,In agriculture we get free and improved seeds of the highest quality which yield more and hence good income. This improves on food security and income at household level,"Like in this village, most people especially the youth aren't trustworthy with money as paying back loans is not their habits thus less recommended"
1.0,5.0,Raising the village have improved  our crop farming and even enabled us to aquire knowledge and skills of making organic manure and liquid manure and incomes have been increased and food production.,Vslas are least recommended  because we were promised backup money on our village savings and it was not fulfilled hence least recommended.
1.0,99.0,"People get seeds for planting thus increasing food production in the household 
People learn to increase soil fertility in the soil through applying manure","All programs are educative since People learn the importance of hygiene,how to increase fertility in the soil increasing yields"
3.0,99.0,"The household recommends the water project because they were given clean water, which is near, hence helping them to save time doing their chores",The respondent recommends all the programs because they have all been beneficial to the community and their household improving on their standards of living
1.0,99.0,"Agriculture because I got seeds of soya that helped me in the previous seasons, I get income from agriculture aswell as food for my household members","All programs are helpful that is its a healthy person who works
Access to water prevents water borne diseases  aswell 
Which reduces expenditure"
1.0,99.0,"They got improved seeds and vegetable seedlings which increased theri production thus high sales. 
They also learnt modern farming practices which also increased productivity thus improved their standards of living",She recommends all programs to others because all programs were good for them therefore she highly recommends it to others
5.0,99.0,"The community received a village start up fund which helped them boast their business,  boasted agriculture because many bought livestock and these vslas also help in saving","The wash, agriculture, water, access to health and vslas were all impactful to the community but  mostly agriculture did
 them well"
,,,
,,,
1.0,3.0,Because it has helped them to improve on their agricultural development by introducing to them improved seeds and live stock which helped them to improve on the home income,Because it has helped them to improve on their sanitation status where they were encouraged to improve on their cleanliness of the compound and the community at large
1.0,4.0,People were given goats and these goats have produced more  goats and this have has encouraged people to work so hard for more items,People were taught how to use clean and safe water for human consumption both for cooking and drinking but werenot provided that safe water source
1.0,2.0,I recommend agriculture and nutrition because raising the village has introduced new crops and new methods of farming and this has increased food production,I recommend wash because the programs for wash are not active and this has increased sickness in the household and poverty in village
1.0,99.0,The program provided us with planting materials and they trained us in many aspects concerning agriculture. This increased the yields and incomes in our household,All the  programs have us in one way or the other and this has reduced many social and economic problems in the area. People are more healthy and have improved livelihoods
1.0,5.0,Agriculture  and  nutrition  is highly  recommended  because  the household  has strongly  benefited from  this program  where by the household  has been  exposed  to the better  farming  methods,VSLA's  as a program  of rtv the household  has been able  to be in a group  but financially  there has not been  support from rtv which  has led to the break down of some groups
5.0,1.0,The program has helped the respondent to acquire money to pay for school fees and to meet other family needs such as food and other items,The respondent least recommend this program since hasn't benefited much from it as she doesn't have enough land to carry out agriculture
,,,
,,,
1.0,3.0,"She thanks rtv programmes especially the agricultural one,she received a big  but unfortunately died however, she gets some money from the vsla programmes that has multiplied and he now has many and she does recommend everyone to participate","She thanks rtv programmes especially the agricultural one,she received a big  but unfortunately died however, she gets some money from the vsla programmes that has multiplied and he now has many and she does recommend everyone to participate"
1.0,99.0,The yields improved and also the pests and diseases reduces after the application of organic manure which was taught by the raising officials within the village,"The household has benefitted from the programs starting with Agriculture,  water, sanitation and hygiene,  wash, access to health and they have recommended every program"
,,,
1.0,3.0,We yield a lot compared to the time raising the village hadn't brought us improved seeds and since the introduction of the advanced methods of farming we have god yields,Water is still a problem because the protected spring raising village had constructed for us got problems and it's unfunctional
1.0,3.0,Agriculture is  recommended because  under  live stock some  members  did not receive  live stock simply  because the first beneficiaries  did not  comply  to what rtv tought  them for example every  who was supposed  to give the neighbour  an offspring  did nit comply,Water is the least recommended  because  Rtv  constructed  protected  spring. That water is safe clean  and can not affected  by prolonged  sunshine
1.0,99.0,"Agriculture and nutrition has provided us with improved
seeds thus encouraging us to grow more.
It has also taught us new skills and methods of farming",They are all recommended  since the all  try to improve the well being of the people in the community  forexample  the wash  which  ensures the hygiene of the community  and households at large.
1.0,99.0,There's has been an increase in agricultural productivity and good results because of the introduction of fertilisers which has boosted soil fertility and hence giving out good yields the respondents are happy because it has boosted food security,All interventions have worked for the people credit goes go the implementation team for the god work done in communities
,,,
1.0,99.0,"It has taught us better farming methods ,given us improved agricultural inputs in form of seedlings and this has improved output and nutritional benefits",All programs taught by the project have brought development into the area and this has improved our livelihood and standards of living
,,,
5.0,99.0,"This Rtv program have improved our area in economy, uplifted my mindset in savings and accessing quick Loan at any time.","None of the above qualify to be on the least because all look to be beneficial to us Forexample water, Agriculture where we are receiving crops."
1.0,99.0,There is provision of seeds that increase yields on top of what they were planting. There was also provision of pigs to certain households which increased their household assets,"These programs improve the standards of living of the residents. There was also ease in the distances moved to look for services like water, health services since doctors are brought on ground"
,,,
1.0,4.0,"This is because the above program has supported the household in applying manure in their grown crops, especially coffee which is their major economic activity.","The respondent feels that the above program hasn't helped her much,since the health center is near her already,and there are no drugs in the health center even now."
,,,
1.0,3.0,"Agriculture is aback born of most of the households. Rtv supported people with seeds, carried out trainings. People applied the knowledge in farming that was given, now have been able to make much harvests and also reserved for sale",The water program did not reach the village. People move long distances collecting water and even the water is very dirty not suitable for human consumption
5.0,1.0,This has enabled us to save our little monies. We have been able to borrow and buy necessary farm inputs for commercial agriculture.,They did not give us enough farm inputs that could enable us carry on agriculture for commercial and subsistence. This is a serious area that needs intervention.
1.0,99.0,This program has helped us to improve and increase yields from crops hence reducing food insecurity and improving health through provision of vegetables,All these programs have been very useful forexample WASH which has helped improve our hygiene hence reducing instances of diseases
1.0,3.0,"This is because rtv has taught us better post harvest handling practices like drying before sale
They also gave us seeds which boosted the produce","This is because water is now available in the community 
Also water has been essential to human as they use for both domestic consumption"
,,,
1.0,99.0,"Raising the village made an outstanding effect in theÂ  community and most particularly this household wherein the Household head received both improved seeds and live  stock, for example goats, pigs which made the Household to be counted amongst the livestock farmers and the Household head is very happy about the same.",The programmes listed above are all appreciated by the Household members and this is because every aspect of raising the village comes in a style to completely eradicate poverty
1.0,4.0,They have introduced the improved seed that's helping us a lot. It's ehat I use and its working for me very well. We are food secure all the time.,"This is still a big problem around. My home being in a mountain, last one up in the hill, I have accepted to suffer with my family in terms of medical services. It's really a big challenge"
1.0,3.0,"The respondent recommends Agriculture and nutrition.
This is because during the past days they used to plant seeds which are unimproved but due to RTV they started getting good yields. There recommends it to the peers","Water has been established and placed nearer to the peers. 
Therefore it's not a big problem maybe maintainance of the already existing water sources"
3.0,5.0,The respondent is grateful to rtv for the good programs especially water they got clean water near them and reduced on the distances .,VSLA's people don't really use VSLA's and most of them don't even understand them they are being forced and they even left the programs
1.0,3.0,I recommend agriculture and nutrition because raising the village has introduced new crops and this has increased food production and income in the household,I recommend water because I spend a lot on water and this has reduced on saving and my income is not enough to buy water every day
1.0,99.0,It's highly recommended given the fact that they received sÃ¨ds in time which havensince then multiplied and this has also enabled them sustain their households,"Al the programs have been @ueful and they rate them very highly for all sectors

Al the programs have been @ueful and they rate them very highly for all sectors"
,,,
5.0,99.0,"The respondent said that she joined VSLA  as a widowed so that she can develop herself.  ,moreso she also wanted rogwt some profits","She says that rtv programs can't be least recommended given the fact that they are good and clear.
She adds on and says that etv programs have helped her in many ways"
2.0,3.0,"We had no latrines but they were able to teach us how to construct latrines, they have taught us about the better seeds that we are able to plant for better production","We need more water services in our villages as some people still move long distances to access water, we shall be glad if more shallow Wells are constructed"
2.0,99.0,Raising the village has encouraged the community to keep a safe and clean environment through the use of tippy taps for a healthy community,All the programs have been good to the community but most importantly has been maintaining proper sanitation  thus a health living
2.0,5.0,She said that raising the village introduced WASH first before teaching them others things.  They were taught to wash hands after visiting a toilet so that they don't contact germs. Another thing they introduced was compost pits which are all under Wash,"Because VSLAs help them to save money they make from agriculture so that means before VSLAs they consider agriculture.  And before agriculture still,  they consider WASH because you can't manage to do agriculture when you're sick incase you ignore WASH"
1.0,99.0,Agriculture is the most recommended because the people were able to get improved seeds that they planted and got better and were also taught how to make liquid manure and also how to apply it in their gardens,"All the programs are highly recommended because all of them have a great impact on the lives of the people many ways especially VSLAs ,WASH,water"
1.0,99.0,Agriculture is the most recommended since it's the backbone of the village in terms of incomes so they recommend it since they were given improved seeds that later gave them better results,All programs are recommended since they are effective and and successfully implemented and the compliance was very great
,,,
3.0,1.0,The provision and construction of the shallow well has helped us to have access to good water that is free from diseases vectors,"Because it is disappointing us so much, especially on the first season of the year, which reduces on our energy towards agriculture"
1.0,99.0,Agriculture has helped the household to get income after selling the harvested yeilds and thus helping the in family expenditure,All the programs have been more useful to the community because alot has been gained thus improving people's standards of living
1.0,4.0,"I choose agriculture, this is because we were given vegetable seeds and other seeds which supplemented
Our diet, we were provided with advice on farming","I choose access to health services, this is  because the access to government health services are not easy yet the available private health services are expensive"
1.0,99.0,The respondent says that they were given improved seeds. These improved on their yields and thus more income was obtained . More so the program is good especially in deep villages like omububare,The respondent  says that all rtv Programs are good more especially those that she is aware about and thus there is no need of least recommending programs. This is because all are beneficial
,,,
2.0,99.0,WASH is the most important because there has been reduction of water borne diseases thus reducing the rate at which people frequently go to hospital,All programmes have been working well and this has improved on people's wellbeing such as the yields got from supplied seeds
1.0,99.0,"It's good it has helped us to improve on productivity of our lands
Agriculture is source of food to my household 
Agriculture has improved on food security","All are good, the people of raising the village have helped us to improve sanitation in our area which has reduced on diseases"
1.0,3.0,I recommend the agriculture program for my peers because raising the village has taught us how to grow vegetables and maintain them throughout the year.,"I least recommend the water program because the village is located by the lake side, but maybe this organisation could help to install some taps for those up the hils."
1.0,4.0,Because we have been able to improve on our agriculture systems and have Increased harvests hence l  highly recommend it to other villages because it has helped us so much as village members,Because we still have a problem of health services hence  l don't recommend the program to others since it is still a problem to most of us
5.0,2.0,"They taught us ways of how to save by creating for us VSLAs , these have helped us alot where by it is easy for a person now to get a loan at a low interest rate without going to money lenders that used to confiscate our property incase we fail to pay their loan.",We had limited trainings as far as this component is concerned . We would wish if they extended more trainings to us so as our sanitation and hygiene can go to a better standard.
,,,
1.0,99.0,We really recommend agriculture because they gave me seeds such as Irish potatoes to grow for free and we planted them and at least we saw good quality those days,On my side everything was ok even though water is somehow far otherwise they helped us in uprighting hygiene of the community
1.0,4.0,Because it helped us to have more knowledge and skills on farming and agriculture practices which has helped us to have increased harvests hence l recommend the program to others,I don't recommend the program to others since it is still a challenge to us as village because we walk a long distance to access better health services
1.0,99.0,"Because she was able to buy goats from its benefits like seeds
Was able to take children to school from income generated from rtv intervention",She says she has benefitted from all programs and she is just great full to all interventions made to their village cause she is still benefiting
1.0,99.0,"Because  the program positively Impacted our lives through giving us improved seeds to plant,  trained us on better  methods of Agriculture such as manure application",I surely appreciate  all programs of Raising the village because they had increased on our yeilds and improved our standards  of living
1.0,4.0,I was the best in our community and I really appreciate the organisation because it gave me a start of improved agriculture and also a pig that has now given birth twice and increased my income,We need a nearby health facility if at all the organisation can afford because it is very far and the transport is expensive but thanks to your programs
1.0,99.0,Rtv has increased  household  income through  the improved  agricultural  practices  that have been taught to the household  hence leading to the increased  agricultural  production,Non of the rtv programs  is less valuable  because  it has done to its best  to engage and support  the houses  in all ways avail through  their  programs
1.0,5.0,"There is introduction of better farming practices like manure application ,provision of improved seeds thus increased food production. 

Increased household income from sale of Agricultural produce 

Better Nutrition standards.",Most villages have many saving groups in existence already  thus by the time  RTV introduces the VSLA  people are already  tied up with many local VSLA
1.0,99.0,"It has helped them to be busy and ensure that they care for their gardens unlike previouwhen they could just leave plants. 
RTV has as well increase unity in the village through agriculture",All programmes have been of benefit and cannot under estimate the impact of each programme to the individuals and village at large
1.0,99.0,"The seeds given out greatly helped in boosting agriculture and agricultural output and hence increasing incomes. 
The household head says they really appreciate","All programmes were good shd still good and yelping our community in different aspects, 
People are now proud if their homes"
1.0,99.0,There's has been an increase in agricultural productivity and good results because of the introduction of fertilisers which has boosted soil fertility and hence giving out good yields the respondents are happy because it has boosted food security,All interventions have worked for the people credit goes go the implementation team for the god work done in communities
1.0,3.0,The Agriculture and Nutrition has improved the lives of people where by they are able to plant the cash crops like coffee and cocoa inorder to support in paying school fees for there children.,Water has changed their lives of living through staying safe and clean and by washing hands after visiting latrine with soap
1.0,2.0,The respondent recommended agriculture because he was motivated by rtv to start his own farming.  He says since is with rtv he is planning to buy his own land and starts serious farming,"He says that before raising the village coming to there village, they were facing a challenge of poor hygiene but when it existed they improved on hygiene"
1.0,4.0,They introduced for us improved seed varieties and taught better farming practices and this has increased our productivity thus food security.,"There were only a few times that they brought for us medical doctors, but we still needed them for consultation butthey did not come back."
1.0,4.0,It has been of help in this village especially to me cause was able to get good quality seedlings that helped in producing much food that we eat and sell.,Still difficult to access hospitals in my village and the one  that is their government doesn't give us enough medicines and doctors which is a big problem.
1.0,99.0,The program has helped us improve on the ways of feeding through  providing with us vegetables  to plant as sell as improved seeds that had increased  on our yeilds  from the garden,I really appreciate  all the programs  the organisation  has brought  to my community  especially  they have made us improve on the general  hygiene  and cleanliness 9n our homes
1.0,99.0,The household benefit from the agriculture because they received the seeds and now are getting much yield that they are selling and still remain with some for consumption,They have benefitted from the water source their health and hygiene has improved due to the rtv interventions so the household thinks all programs have been beneficial
1.0,3.0,It's a leading financial income within the community for most individuals since there's improved agricultural methods done by rasing,There's need for water source within the community since there's borehole that doesn't give out clean water for their use and as well it's being destroyed hence disadvantage
,,,
1.0,3.0,People are growing  crops and yielding more from  agriculture  which has improved the  standards which has improved their well-being in this community.,"They don't have access to clean, they use  water from  lake which is not  good  for  there  health.  This  lead to a increase to disease."
1.0,3.0,The agricultural sector in these communities has improved because of the soil maintenance practices that were introduced by raising the village which has improved soil health and protect biodiversity,Water is still a problem here in away that people use dirty water from unprotected Wells which is a health risk to the people
,,,
2.0,99.0,This has helped improve the hygiene of the village at large.  This has reduced cases of sickness and illness which saves from unnecessary spending,All programs are very good and help the village.  But the water is very far and used by very many people which  causes delays
1.0,99.0,The respondent said that the program most recommended is Agriculture and Nutrition for she got improved seedlings that she plants and get more yields.,The respondent said that all the programs of Raising The Village are good and important to her because they play different roles depending on their sectors.
3.0,99.0,The respondent recommend water because they were very poor in terms of water sources but when rtv came they constructed for them water sources,All the programs are good and highly recommended by the respondent because they have helped them in terms of development and hygiene and there is also cooperation between them
,,,
1.0,99.0,They  recommend agriculture because they gave them livestock like they gave him a sheep  which has generated income through selling  products,They recommend none  because  thetpy taught them different techniques of farming practices which help on improving yeilds
